Name,Validation Error Message
Bhutan,"The postal code is invalid for country Bhutan, Bhutan postal code must be in 99999 format."
Chad,"The postal code is invalid for country Chad, Chad postal code must be in 99999 format."
China,"The postal code is invalid for country China, China postal code must be in 999999 format."
Christmas Island,"The postal code is invalid for country Christmas Island, Christmas Island postal code must be in 9999 format."
Cocos (Keeling) Islands,"The postal code is invalid for country Cocos (Keeling) Islands, Cocos (Keeling) Islands postal code must be in 9999 format."
Bosnia and Herzegovina,"The postal code is invalid for country Bosnia and Herzegovina, Bosnia and Herzegovina postal code must be in 99999 format."
Brazil,"The postal code is invalid for country Brazil, Brazil postal code must be in 99999 OR 99999-999 format."
India,"The postal code is invalid for country India, India postal code must be in 999999 OR 999 999 format."
Indonesia,"The postal code is invalid for country Indonesia, Indonesia postal code must be in 99999 format."
Ireland,"The postal code is invalid for country Ireland, Ireland postal code must be in A99 9A9A or A999A9A format."
Jordan,"The postal code is invalid for country Jordan, Jordan postal code must be in 99999 format."
Kazakhstan,"The postal code is invalid for country Kazakhstan, Kazakhstan postal code must be in 999999 format."
Kenya,"The postal code is invalid for country Kenya, Kenya postal code must be in 99999 format."
Korea,"The postal code is invalid for country Korea, Korea postal code must be in 99999 format."
Kuwait,"The postal code is invalid for country Kuwait, Kuwait postal code must be in 99999 format."
Kyrgyzstan,"The postal code is invalid for country Kyrgyzstan, Kyrgyzstan postal code must be in 999999 format."
Israel,"The postal code is invalid for country Israel, Israel postal code must be in 99999 OR 9999999 format."
Italy,"The postal code is invalid for country Italy, Italy postal code must be in 99999 format."
Jamaica,"The postal code is invalid for country Jamaica, Jamaica postal code must be in 99 format."
Japan,"The postal code is invalid for country Japan, Japan postal code must be in 9999999 OR 999-9999 format."
Brunei Darussalam,"The postal code is invalid for country Brunei Darussalam, Brunei Darussalam postal code must be in KB9999 format."
Colombia,"The postal code is invalid for country Colombia, Colombia postal code must be in 999999 format."
Costa Rica,"The postal code is invalid for country Costa Rica, Costa Rica postal code must be in 9999 or 99999 format."
Lao People's Democratic Republic,"The postal code is invalid for country Lao People's Democratic Republic, Lao People's Democratic Republic postal code must be in 99999 format."
Lesotho,"The postal code is invalid for country Lesotho, Lesotho postal code must be in 999 format."
Liberia,"The postal code is invalid for country Liberia, Liberia postal code must be in 9999 format."
Liechtenstein,"The postal code is invalid for country Liechtenstein, Liechtenstein postal code must be in 9999 format."
Lithuania,"The postal code is invalid for country Lithuania, Lithuania postal code must be in 99999 or LT-99999 format."
Algeria,"The postal code is invalid for country Algeria, Algeria postal code must be in 99999 format."
Armenia,"The postal code is invalid for country Armenia, Armenia postal code must be in 9999 format."
Ukraine,"The postal code is invalid for country Ukraine, Ukraine postal code must be in 99999 format."
Australia,"The postal code is invalid for country Australia, Australia postal code must be in 9999 format."
Austria,"The postal code is invalid for country Austria, Austria postal code must be in 9999 format."
Bahrain,"The postal code is invalid for country Bahrain, Bahrain postal code must be in 999 OR 9999 format."
Cuba,"The postal code is invalid for country Cuba, Cuba postal code must be in 99999 format."
Afghanistan,"The postal code is invalid for country Afghanistan, Afghanistan postal code must be in 9999 format."
Aland Islands,"The postal code is invalid for country Aland Islands, Aland Islands postal code must be in 99999 format."
Saint Barthelemy,"The postal code is invalid for country Saint Barthelemy, Saint Barthelemy postal code must be in 97133 format."
Bangladesh,"The postal code is invalid for country Bangladesh, Bangladesh postal code must be in 9999 format."
Iraq,"The postal code is invalid for country Iraq, Iraq postal code must be in 99999 format."
Montenegro,"The postal code is invalid for country Montenegro, Montenegro postal code must be in 99999 format."
Saint Martin (French Part),"The postal code is invalid for country Saint Martin (French Part ), Saint Martin (French Part ) postal code must be in 97150 format."
Belgium,"The postal code is invalid for country Belgium, Belgium postal code must be in B-9999 or 9999 format."
Bermuda,"The postal code is invalid for country Bermuda, Bermuda postal code must be in AA 99 OR AA AA format."
Serbia,"The postal code is invalid for country Serbia, Serbia postal code must be in 99999 format."
Svalbard and Jan Mayen,"The postal code is invalid for country Svalbard and Jan Mayen, Svalbard and Jan Mayen postal code must be in 9999 format."
Wallis and Futuna,"The postal code is invalid for country Wallis and Futuna, Wallis and Futuna postal code must be in 986NN format."
Sudan,"The postal code is invalid for country Sudan, Sudan postal code must be in 99999 format."
South Sudan,"The postal code is invalid for country South Sudan, South Sudan postal code must be in 99999 format."
